日期,外卖（2019/03/22-2020/03/22）,物流（2019/03/22-2020/03/22）,配送（2019/03/22-2020/03/22）,快递（2019/03/22-2020/03/22）,网购（2019/03/22-2020/03/22）
2019/3/22,2272,4009,391,57300,397
2019/3/23,2189,3354,339,47484,451
2019/3/24,2227,3254,309,44794,474
2019/3/25,2193,3967,400,52321,489
2019/3/26,2113,4009,368,51285,508
2019/3/27,2224,3906,380,51599,459
2019/3/28,2135,4266,366,52551,526
2019/3/29,2052,4089,395,51235,428
2019/3/30,2174,3615,351,43892,502
2019/3/31,2233,3315,289,42630,535
2019/4/1,2083,4038,343,48617,470
2019/4/2,2137,3908,393,48864,530
2019/4/3,1893,3669,400,50646,528
2019/4/4,1993,3392,340,50260,442
2019/4/5,1905,2468,357,38596,402
2019/4/6,1912,2775,302,37470,475
2019/4/7,2040,3047,360,39421,529
2019/4/8,1992,3957,406,47390,548
2019/4/9,2234,3325,258,49753,531
2019/4/10,1986,3538,354,52635,548
2019/4/11,1876,3881,397,53919,539
2019/4/12,2054,3864,380,53190,506
2019/4/13,2028,3508,336,44887,495
2019/4/14,1991,3315,295,43169,558
2019/4/15,2038,4163,358,49309,505
2019/4/16,2054,3834,355,48601,516
2019/4/17,1728,3865,361,51176,558
2019/4/18,1901,4109,367,53849,555
2019/4/19,1897,3764,354,52686,495
2019/4/20,2086,3621,301,44974,498
2019/4/21,2140,3584,322,44020,540
2019/4/22,2122,4406,386,52096,613
2019/4/23,1878,3891,368,54088,615
2019/4/24,1772,3769,378,56925,526
2019/4/25,1821,4022,371,57738,520
2019/4/26,1925,4094,376,53222,511
2019/4/27,2020,3584,320,46914,498
2019/4/28,1777,3934,351,50434,514
2019/4/29,1847,4018,394,51769,475
2019/4/30,1680,3532,320,48319,504
2019/5/1,1771,2497,229,37086,453
2019/5/2,1782,2708,292,36489,413
2019/5/3,1898,2869,263,37894,411
2019/5/4,2003,3277,288,40152,496
2019/5/5,1950,3737,344,46464,494
2019/5/6,2144,4128,429,50371,515
2019/5/7,2082,4207,364,52445,538
